article,abstract
paper_01.grobid.tei,"Artificial intelligence (AI) is a powerful and disruptive area of computer science, with the potential to fundamentally transform the practice of medicine and the delivery of healthcare. In this review article, we outline recent breakthroughs in the application of AI in healthcare, describe a roadmap to building effective, reliable and safe AI systems, and discuss the possible future direction of AI augmented healthcare systems."
paper_02.grobid.tei,"The potential of artificial intelligence (AI) to significantly transform numerous aspects of contemporary civilization is substantial. Advancements in research show an increasing interest in creating AI solutions in the healthcare sector. This interest is driven by the broad spectrum and extensive nature of easily accessible patient data-including medical imaging, digitized data collection, and electronic health records -and by the ability to analyze and interpret complex data, facilitating more accurate and timely diagnoses. This review's goal is to provide a comprehensive overview of the advancements achieved by AI in healthcare, to elucidate the present state of AI in enhancing the healthcare system and improving the quality and efficiency of healthcare decision making, and to discuss selected medical applications of AI. Furthermore, the barriers and constraints that may impede the use of AI in healthcare are outlined, and the potential future directions of AI-augmented healthcare systems are discussed. Contents 1. Introduction 2. AI 3. Medical applications of AI 4. Challenges and opportunities of using AI for improving healthcare 5. Conclusions"
paper_03.grobid.tei,"Introduction: The use of artificial intelligence (AI), which can emulate human intelligence and enhance clinical results, has grown in healthcare decision-making due to the digitalization effects and the COVID-19 pandemic. The purpose of this study was to determine the scope of applications of AI tools in the decision-making process in healthcare service delivery networks. Materials and methods: This study used a qualitative method to conduct a systematic review of the existing reviews. Review articles published between 2000 and 2024 in English-language were searched in PubMed, Scopus, ProQuest, and Cochrane databases. The CASP (Critical Appraisal Skills Programme) Checklist for Systematic Reviews was used to evaluate the quality of the articles. Based on the eligibility criteria, the final articles were selected and the data extraction was done independently by 2 authors. Finally, the thematic analysis approach was used to analyze the data extracted from the selected articles. Results: Of the 14 219 identified records, 18 review articles were eligible and included in the analysis, which covered the findings of 669 other articles. The quality assessment score of all reviewed articles was high. And, the thematic analysis of the data identified 3 main themes including clinical decision-making, organizational decision-making, and shared decision-making; which originated from 8 subthemes. Conclusions: This study revealed that AI tools have been applied in various aspects of healthcare decision-making. The use of AI can improve the quality, efficiency, and effectiveness of healthcare services by providing accurate, timely, and personalized information to support decision-making. Further research is needed to explore the best practices and standards for implementing AI in healthcare decision-making."
paper_04.grobid.tei,"Artificial intelligence (AI) has emerged as a powerful tool in healthcare significantly impacting practices from diagnostics to treatment delivery and patient management. This article examines the progress of AI in healthcare, starting from the field's inception in the 1960s to present-day innovative applications in areas such as precision medicine, robotic surgery, and drug development. In addition, the impact of the COVID-19 pandemic on the acceleration of the use of AI in technologies such as telemedicine and chatbots to enhance accessibility and improve medical education is also explored. Looking forward, the paper speculates on the promising future of AI in healthcare while critically addressing the ethical and societal considerations that accompany the integration of AI technologies. Furthermore, the potential to mitigate health disparities and the ethical implications surrounding data usage and patient privacy are discussed, emphasizing the need for evolving guidelines to govern AI's application in healthcare."
paper_05.grobid.tei,"Background: The integration of artificial intelligence (AI) into health care has the potential to transform the industry, but it also raises ethical, regulatory, and safety concerns. This review paper provides an in-depth examination of the benefits and risks associated with AI in health care, with a focus on issues like biases, transparency, data privacy, and safety. Objective: This study aims to evaluate the advantages and drawbacks of incorporating AI in health care. This assessment centers on the potential biases in AI algorithms, transparency challenges, data privacy issues, and safety risks in health care settings. Methods: Studies included in this review were selected based on their relevance to AI applications in health care, focusing on ethical, regulatory, and safety considerations. Inclusion criteria encompassed peer-reviewed articles, reviews, and relevant research papers published in English. Exclusion criteria included non-peer-reviewed articles, editorials, and studies not directly related to AI in health care. A comprehensive literature search was conducted across 8 databases: OVID MEDLINE, OVID Embase, OVID PsycINFO, EBSCO CINAHL Plus with Full Text, ProQuest Sociological Abstracts, ProQuest Philosopher's Index, ProQuest Advanced Technologies & Aerospace, and Wiley Cochrane Library. The search was last updated on June 23, 2023. Results were synthesized using qualitative methods to identify key themes and findings related to the benefits and risks of AI in health care. Results: The literature search yielded 8796 articles. After removing duplicates and applying the inclusion and exclusion criteria, 44 studies were included in the qualitative synthesis. This review highlights the significant promise that AI holds in health care, such as enhancing health care delivery by providing more accurate diagnoses, personalized treatment plans, and efficient resource allocation. However, persistent concerns remain, including biases ingrained in AI algorithms, a lack of transparency in decision-making, potential compromises of patient data privacy, and safety risks associated with AI implementation in clinical settings. Conclusions: In conclusion, while AI presents the opportunity for a health care revolution, it is imperative to address the ethical, regulatory, and safety challenges linked to its integration. Proactive measures are required to ensure that AI technologies are developed and deployed responsibly, striking a balance between innovation and the safeguarding of patient well-being."
paper_06.grobid.tei,"Artificial Intelligence (AI), a transformative technology with vast potential in the field of healthcare, presents an array of opportunities for innovation, with the ability to transform medical care from diagnosis to treatment and patient monitoring [1, 2] . However, one of the main concerns about AI is the issue of data bias, which refers to the distortion or unfairness that can arise from the data used to train or evaluate AI algorithms. Data bias can affect the accuracy, validity and reliability of algorithms, and can lead to discriminatory or harmful outcomes for certain groups of people [3] . Traditionally, data-driven initiatives have primarily focused on building models and optimizing accuracy, often overlooking the fundamental issue of data bias. This oversight has the potential to propagate algorithmic bias, reinforcing stereotypes and structural inequities, particularly when deployed in real-world scenarios. Thus, it is essential to recognize that many of the models published so far may inadvertently perpetuate disparities present in data sources and patient populations [4] . In the medical field, AI's most significant contribution lies in illuminating the critical role of data in facilitating more objective, consistent, and immediate decision-making, while promoting health equity [5] . However, healthcare data is powered by the medical knowledge system, which includes influential stakeholders like research funders, universities, researchers, and academic journals. These entities play pivotal roles in determining research priorities, defining patient cohorts, providing platforms for research, and disseminating research findings, whose collective influence significantly shapes the trajectory of medical research and our understanding of health and diseases, thus contributing to the persistence of health disparities PLOS DIGITAL HEALTH"
paper_07.grobid.tei,"Biases in medical artificial intelligence (AI) arise and compound throughout the AI lifecycle. These biases can have significant clinical consequences, especially in applications that involve clinical decision-making. Left unaddressed, biased medical AI can lead to substandard clinical decisions and the perpetuation and exacerbation of longstanding healthcare disparities. We discuss potential biases that can arise at different stages in the AI development pipeline and how they can affect AI algorithms and clinical decision-making. Bias can occur in data features and labels, model development and evaluation, deployment, and publication. Insufficient sample sizes for certain patient groups can result in suboptimal performance, algorithm underestimation, and clinically unmeaningful predictions. Missing patient findings can also produce biased model behavior, including capturable but nonrandomly missing data, such as diagnosis codes, and data that is not usually or not easily captured, such as social determinants of health. Expertly annotated labels used to train supervised learning models may reflect implicit cognitive biases or substandard care practices. Overreliance on performance metrics during model development may obscure bias and diminish a model's clinical utility. When applied to data outside the training cohort, model performance can deteriorate from previous validation and can do so differentially across subgroups. How end users interact with deployed solutions can introduce bias. Finally, where models are developed and published, and by whom, impacts the trajectories and priorities of future medical AI development. Solutions to mitigate bias must be implemented with care, which include the collection of large and diverse data sets, statistical debiasing methods, thorough model evaluation, emphasis on model interpretability, and standardized bias reporting and transparency requirements. Prior to real-world implementation in clinical settings, rigorous validation through clinical trials is critical to demonstrate unbiased application. Addressing biases across model development stages is crucial for ensuring all patients benefit equitably from the future of medical AI."
paper_08.grobid.tei,"Artificial intelligence (AI) is rapidly advancing in healthcare, enhancing the efficiency and effectiveness of services across various specialties, including cardiology, ophthalmology, dermatology, emergency medicine, etc. AI applications have significantly improved diagnostic accuracy, treatment personalization, and patient outcome predictions by leveraging technologies such as machine learning, neural networks, and natural language processing. However, these advancements also introduce substantial ethical and fairness challenges, particularly related to biases in data and algorithms. These biases can lead to disparities in healthcare delivery, affecting diagnostic accuracy and treatment outcomes across different demographic groups. This review paper examines the integration of AI in healthcare, highlighting critical challenges related to bias and exploring strategies for mitigation. We emphasize the necessity of diverse datasets, fairness-aware algorithms, and regulatory frameworks to ensure equitable healthcare delivery. The paper concludes with recommendations for future research, advocating for interdisciplinary approaches, transparency in AI decision-making, and the development of innovative and inclusive AI applications."
paper_09.grobid.tei,"Objectives: This narrative review evaluates the role of artificial intelligence (AI) in healthcare, summarizing its historical evolution, current applications across medical and surgical specialties, and implications for allied health professions and biomedical research. Methods: We conducted a structured literature search in Ovid MEDLINE (2018-2025) using terms related to AI, machine learning, deep learning, large language models, generative AI, and healthcare applications. Priority was given to peerreviewed articles providing novel insights, multidisciplinary perspectives, and coverage of underrepresented domains. Key findings: AI is increasingly applied to diagnostics, surgical navigation, risk prediction, and personalized medicine. It also holds promise in allied health, drug discovery, genomics, and clinical trial optimization. However, adoption"
paper_10.grobid.tei,"This review focuses on integrating artificial intelligence (AI) into healthcare, particularly for predicting adverse events, which holds potential in clinical decision support (CDS) but also presents significant challenges. Biases in data acquisition, such as population shifts and data scarcity, threaten the generalizability of AI-based CDS algorithms across different healthcare centers. Techniques like resampling and data augmentation are crucial for addressing biases, along with external validation to mitigate population bias. Moreover, biases can emerge during AI training, leading to underfitting or overfitting, necessitating regularization techniques for balancing model complexity and generalizability. The lack of interpretability in AI models poses trust and transparency issues, advocating for transparent algorithms and requiring rigorous testing on specific hospital populations before implementation. Additionally, emphasizing human judgment alongside AI integration is essential to mitigate the risks of deskilling healthcare practitioners. Ongoing evaluation processes and adjustments to regulatory frameworks are crucial for ensuring the ethical, safe, and effective use of AI in CDS, highlighting the need for meticulous attention to data quality, preprocessing, model training, interpretability, and ethical considerations."
